L1_Code,L1_Name,L2_Code,L2_Name,L3_Code,L3_Name,ATC_Code,Name,DDD,U,Adm.R,Note
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA01,sodium fluoride,1.1,mg,O,0.5 mg fluoride
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA02,sodium monofluorophosphate,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA03,olaflur,1.1,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA04,stannous fluoride,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA30,combinations,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,A01AA51,"sodium fluoride, combinations",,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB02,hydrogen peroxide,60,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB03,chlorhexidine,30,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB04,amphotericin B,40,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB05,polynoxylin,0.18,g,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB06,domiphen,3,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB07,oxyquinoline,80,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB08,neomycin,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB09,miconazole,0.2,g,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB10,natamycin,20,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB11,various,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB12,hexetidine,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB13,tetracycline,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB14,benzoxonium chloride,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB15,tibezonium iodide,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB16,mepartricin,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB17,metronidazole,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB18,clotrimazole,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB19,sodium perborate,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB21,chlortetracycline,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB22,doxycycline,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,A01AB23,minocycline,1,mg,O,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,A01AC01,triamcinolone,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,A01AC02,dexamethasone,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,A01AC03,hydrocortisone,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AC,Corticosteroids for local oral treatment,A01AC54,"prednisolone, combinations",,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,A01AD01,epinephrine,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,A01AD02,benzydamine,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,A01AD05,acetylsalicylic acid,,,,
A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AD,Other agents for local oral treatment,A01AD06,adrenalone,,,,
